Finca,Dias,T, Puntaje , pH , Brix , Acidez_T , cafeina , CCTotal , Polifenoles , DPPH , ABTS ,Altitud
Nuguo,4,24, 88.53 , 4.78 , 1.40 , 0.015 , 519.61 , 1,312.57 , 2,085.51 , 5.83 , 7.88 ,1850
Nuguo,5,24, 88.83 , 4.72 , 1.40 , 0.015 , 545.80 , 2,663.71 , 2,051.47 , 6.42 , 8.03 ,1850
Nuguo,6,24, 88.69 , 4.80 , 1.33 , 0.013 , 500.24 , 1,299.17 , 1,869.92 , 6.73 , 8.22 ,1850
Nuguo,7,24, 88.89 , 4.81 , 1.47 , 0.014 , 557.96 , 2,275.04 , 2,115.02 , 6.37 , 8.21 ,1850
Nuguo,4,16.8, 88.75 , 4.81 , 2.00 , 0.016 , 713.28 , 4,598.29 , 2,802.64 , 8.48 , 11.70 ,1850
Nuguo,5,16.8, 88.64 , 4.79 , 1.60 , 0.016 , 603.55 , 3,525.28 , 2,357.84 , 6.53 , 9.87 ,1850
Nuguo,7,16.8, 88.86 , 4.82 , 1.60 , 0.016 , 638.59 , 3,743.42 , 2,559.81 , 6.64 , 9.66 ,1850
Nuguo,11,16.8, 88.11 , 4.82 , 1.67 , 0.014 , 613.07 , 3,323.30 , 2,344.22 , 6.51 , 9.60 ,1850
Nuguo,3,30, 88.83 , 4.76 , 1.00 , 0.012 , 496.69 , 2,342.79 , 1,972.04 , 6.19 , 8.56 ,1850
Nuguo,4,30, 89.28 , 4.78 , 1.00 , 0.012 , 596.73 , 1,494.50 , 2,012.89 , 6.57 , 8.50 ,1850
Nuguo,5,30, 89.36 , 4.77 , 1.20 , 0.015 , 621.46 , 1,560.21 , 2,257.98 , 7.36 , 9.52 ,1850
Nuguo,6,30, 89.52 , 4.74 , 1.20 , 0.015 , 568.22 , 1,481.71 , 2,128.63 , 7.28 , 9.46 ,1850
Nuguo,6.5,30, 89.44 , 4.77 , 1.00 , 0.014 , 549.86 , 1,403.33 , 1,997.01 , 6.98 , 7.88 ,1850
Hartman,3,22, 89.44 , 5.12 , 1.47 , 0.013 , 616.19 , 1,496.74 , 2,112.74 , 6.17 , 11.20 ,1800
Hartman,4,22, 88.81 , 5.12 , 1.47 , 0.013 , 629.87 , 1,556.96 , 2,369.19 , 6.24 , 11.18 ,1800
Hartman,5,22, 88.17 , 5.15 , 1.73 , 0.014 , 698.72 , 1,511.80 , 2,169.48 , 7.08 , 11.37 ,1800
Hartman,6,22, 88.61 , 5.09 , 1.60 , 0.017 , 698.72 , 1,361.98 , 2,689.17 , 8.09 , 12.85 ,1800
Hartman,7,22, 89.31 , 5.12 , 1.60 , 0.016 , 660.35 , 1,373.66 , 2,455.42 , 7.77 , 12.57 ,1800
Hartman,8,22, 89.39 , 5.08 , 1.53 , 0.013 , 625.71 , 1,507.12 , 2,208.06 , 6.68 , 10.54 ,1800
Hartman,3,24, 89.06 , 5.11 , 1.53 , 0.013 , 634.03 , 1,554.64 , 2,407.77 , 7.83 , 11.35 ,1800
Hartman,4,24, 89.00 , 5.13 , 1.40 , 0.014 , 616.69 , 1,584.85 , 2,226.22 , 7.76 , 11.35 ,1800
Hartman,5,24, 89.14 , 5.11 , 1.47 , 0.016 , 638.50 , 1,510.48 , 2,382.80 , 7.48 , 11.90 ,1800
Hartman,6,24, 89.00 , 5.10 , 1.47 , 0.015 , 606.95 , 1,549.99 , 2,346.49 , 8.51 , 9.85 ,1800
Hartman,8,24, 88.86 , 5.12 , 1.53 , 0.014 , 602.51 , 1,680.54 , 2,267.06 , 7.09 , 10.52 ,1800
Hartman,9,24, 88.72 , 5.10 , 1.53 , 0.013 , 619.78 , 1,588.20 , 2,246.64 , 7.08 , 10.94 ,1800
Hartman,3,30, 88.81 , 5.13 , 1.60 , 0.015 , 634.92 , 1,648.01 , 2,498.54 , 8.00 , 9.15 ,1800
Hartman,4,30, 87.90 , 5.13 , 1.33 , 0.012 , 565.57 , 1,361.98 , 1,865.38 , 7.09 , 8.19 ,1800
Hartman,5,30, 88.58 , 5.11 , 1.47 , 0.013 , 565.57 , 1,531.91 , 2,205.79 , 5.21 , 8.75 ,1800
Hartman,5.5,30, 88.56 , 5.12 , 1.60 , 0.014 , 615.27 , 1,704.59 , 2,410.03 , 8.52 , 10.45 ,1800
Hartman,6,30, 87.90 , 5.13 , 1.80 , 0.015 , 690.43 , 1,729.97 , 2,671.01 , 6.98 , 9.60 ,1800
Hartman,6.5,30, 88.72 , 5.11 , 1.80 , 0.015 , 652.21 , 1,583.31 , 6.06 , 8.69 , 1,800.00 ,
