Finca,Dias,T,Puntaje,pH,Brix,AcidezT,cafeina,ACQA,CCQA,BCQA,Polifenoles,DPPH,ABTS,Altitud
Nuguo,4,30,89.28,4.78,1,0.0122,596.7305,326.2892,791.7457,376.465,2012.8917,6.5667,8.5006,1850
Nuguo,5,30,89.36,4.7733,1.2,0.0145,621.4622,352.6826,808.2782,399.2524,2257.9833,7.3583,9.5212,1850
Nuguo,6,30,89.52,4.7367,1.2,0.0145,568.2184,333.2974,770.4177,377.9955,2128.63,7.275,9.4588,1850
Nuguo,6.5,30,89.44,4.7733,1,0.0138,549.8571,335.5529,703.9463,363.8275,1997.005,6.9833,7.8758,1850
Hartman,3,22,89.44,5.123333333,1.466666667,0.012534755,616.1911989,334.2410466,778.5748254,383.9267146,2112.743333,6.166666667,11.19802808,1800
Hartman,4,22,88.81,5.120666667,1.466666667,0.012851552,629.8708016,345.9218103,812.2755238,398.7654451,2369.185,6.241666667,11.17689961,1800
Hartman,5,22,88.17,5.146666667,1.733333333,0.013523579,698.7151107,340.8356884,777.0782229,393.8884419,2169.478333,7.083333333,11.36705585,1800
Hartman,6,22,88.61,5.09,1.6,0.016897034,698.7151107,301.2292283,709.6744964,351.0741733,2689.168333,8.091666667,12.84604887,1800
Hartman,7,22,89.31,5.123333333,1.6,0.016248531,660.3539657,312.9144514,709.6744964,351.0741733,2455.421667,7.766666667,12.57137874,1800
Hartman,8,22,89.39,5.08,1.533333333,0.013184835,625.7103425,331.852382,793.1138942,382.1511623,2208.058333,6.683333333,10.54304546,1800
Hartman,3,24,89.06,5.106666667,1.533333333,0.013184228,634.0288871,349.6764137,805.8313526,399.1329334,2407.765,7.825,11.34592738,1800
Hartman,4,24,89,5.13,1.4,0.014219195,616.6870634,350.0429307,828.9763171,405.8319781,2226.215,7.758333333,11.34592738,1800
Hartman,5,24,89.14,5.113333333,1.466666667,0.016243685,638.4986487,339.9475829,787.0172718,383.5200864,2382.8,7.475,11.89526764,1800
Hartman,6,24,89,5.1,1.466666667,0.014554531,606.9515105,344.6419176,807.6640795,397.6849193,2346.491667,8.508333333,9.845110678,1800
Hartman,8,24,88.86,5.12,1.533333333,0.014425705,602.50657,393.0651014,861.9406552,425.5309992,2267.063333,7.091666667,10.51735275,1800
Hartman,9,24,88.72,5.1,1.533333333,0.012509031,619.7811904,359.2370142,825.1753049,403.7845601,2246.638333,7.075,10.93750405,1800
Hartman,3,30,88.81,5.126666667,1.6,0.014885516,634.9192528,382.7101565,832.5572977,432.7402648,2498.54,8,9.151861039,1800
Hartman,4,30,87.90125,5.133333333,1.333333333,0.011519711,565.5702133,301.2292283,709.6744964,351.0741733,1865.381875,7.091666667,8.185513057,1800
Hartman,5,30,88.58,5.113333333,1.466666667,0.012840315,565.5702133,342.1962869,799.2656299,390.452999,2205.788333,5.208333333,8.752717308,1800
Hartman,5.5,30,88.56,5.12,1.6,0.014207353,615.2690001,393.0651014,873.6565595,437.8676939,2410.033333,8.516666667,10.45433006,1800
Hartman,6,30,87.90125,5.126666667,1.8,0.014542119,690.4277826,393.0651014,899.0370046,437.8676939,2671.011667,6.983333333,9.596996766,1800
Hartman,6.5,30,88.72,5.11,1.8,0.014872845,652.214816,356.7955534,824.1284508,402.3844995,2484.923333,6.058333333,8.689694613,1800
